[2025-10-04 22:47:53] BUY AAPL @ 258.04 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 22:58:36] BUY AAPL @ 258.04 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:04:39] BUY AAPL @ 258.04 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:07:29] BUY AAPL @ 258.04 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:13:35] BUY AAPL @ 258.04 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:14:44] BUY AAPL @ 258.04 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:23:23] 📊 持仓中，入场价: 258.04, 当前价: 258.04, 浮盈: 0.00%
[2025-10-04 23:48:24] BUY AAPL @ 258.04 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:48:24] BUY TSLA @ 429.86 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:48:24] BUY NVDA @ 187.63 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:51:02] BUY AAPL @ 258.04 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:51:03] BUY TSLA @ 429.86 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:51:03] BUY NVDA @ 187.63 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:52:48] BUY AAPL @ 258.04 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:52:48] BUY TSLA @ 429.86 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:52:48] BUY NVDA @ 187.63 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:54:59] BUY AAPL @ 258.04 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:54:59] BUY TSLA @ 429.86 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
[2025-10-04 23:54:59] BUY NVDA @ 187.63 - 策略信号 + 风控通过 ｜现金: $100000.00, 持仓: $0.00, 总权益: $100000.00
